U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
06.02.2019	18:00:00 ! data and time
7.52 ! temperature c
13.69 ! External battery voltage V
60.39298	0.30016	0.01	0	2	0	
61.73762	0.26558	0.01	0	4	1	
70.4022	0.29738	0.01	0	0	0	
65.79969	0.20867	0.01	0	28	1	
67.90485	0.20425	0.01	0	1	0	
68.14528	0.19327	0.01	0	12	0	
59.81988	0.14982	0.01	0	10	0	
77.11516	0.25032	0.01	0	3	1	
63.89042	0.16312	0.01	0	16	1	
61.55916	0.28744	0.01	0	0	0	
65.45518	0.30119	0.01	0	0	0	
60.72072	0.29718	0.01	0	2	1	
65.62993	0.31451	0.01	0	0	0	
66.00434	0.3613	0.01	0	2	1	
63.44405	0.31894	0.01	0	1	1	
69.39141	0.34847	0.01	0	0	1	
74.75039	0.40181	0.01	0	3	1	
40.41923	0.24437	0.01	0	0	0	
45.70991	0.24124	0.01	0	1	0	
46.55425	0.23104	0.01	0	7	1	
39.65498	0.17608	0.01	0	6	1	
39.08874	0.1292	0.01	0	13	1	
45.00095	0.16085	0.01	0	11	1	
48.73772	0.20458	0.01	0	11	0	
41.54317	0.16677	0.01	0	12	1	
40.4295	0.18439	0.01	0.1	30	0	
42.83743	0.26304	0.01	0	5	1	
45.56366	0.2694	0.01	0	6	1	
46.32002	0.24347	0.01	0	23	1	
44.96762	0.22999	0.01	0	6	1	
45.38695	0.26456	0.01	0	2	1	
27.45661	0.21534	0.01	0	7	1	
27.00189	0.14254	0.01	0	2	1	
26.04323	0.13365	0.01	0	0	1	
27.56316	0.13375	0.01	0.1	22	1	
30.09057	0.13312	0.01	0	8	1	
31.06092	0.07741	0.01	0	11	1	
28.38134	0.18958	0.01	0	2	1	
28.05988	0.17525	0.01	0	4	1	
28.97985	0.16719	0.01	0	10	1	
30.81363	0.23673	0.01	0.1	11	1	
31.2954	0.18807	0.01	0	4	1	
17.26617	0.14895	0.01	0	3	1	
18.88691	0.14825	0.01	0	14	1	
19.11528	0.128	0.01	0.5	96	1	
18.91893	0.06316	0.01	0.1	44	1	
20.49747	0.11278	0.01	0	14	1	
19.30105	0.11479	0.01	0	3	1	
19.61026	0.13888	0.01	0	4	1	
19.56373	0.1776	0.01	0	0	1	
12.6367	0.11331	0.01	0	29	1	
12.88319	0.16257	0.01	0.1	7	1	
13.15697	0.12379	0.01	0	6	1	
13.29479	0.0964	0.01	0	9	1	
12.92541	0.09794	0.01	0	5	1	
87.03664	0.94466	0.1	0	0	1	
88.80197	0.87148	0.1	0	1	8	
07.02.2019	0:00:00	!	dataset	2		
5.04						
13.14						
527.93109	2.60042	0.1	0	0	5	
532.84155	2.65558	0.1	0	0	6	
611.53833	3.05765	0.1	0	0	6	
581.25659	2.95697	0.1	0	0	5	
587.60186	2.89842	0.1	0	1	6	
593.22967	2.8536	0.1	0	0	6	
522.10675	2.31399	0.1	0	0	5	
665.49877	3.19286	0.1	0	0	6	
558.81628	2.2868	0.1	0	0	6	
534.8457	2.4586	0.1	0	0	6	
577.25433	2.65135	0.1	0	0	6	
533.8366	2.46995	0.1	0	0	6	
570.92523	2.67822	0.1	0	0	6	
571.07788	2.83881	0.1	0	0	6	
560.6369	2.79272	0.1	0	0	6	
611.22637	3.01256	0.1	0	0	7	
658.58551	3.38899	0.1	0	1	7	
361.53427	2.13735	0.1	0	0	6	
415.59985	2.41594	0.1	0	0	6	
421.73904	2.41587	0.1	0	0	6	
360.08612	1.99273	0.1	0	0	6	
355.45416	1.92934	0.1	0	0	6	
407.50933	2.18871	0.1	0	0	6	
436.29321	2.24226	0.1	0	1	6	
372.75454	1.9166	0.1	0	0	6	
