U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
14.10.2019	0:00:00					
-1.49						
13.35						
187.2021	13.82995	0.001	0.2	2	2	
208.31904	15.7621	0.001	0	0	2	
183.65725	13.2854	0.001	0	0	2	
187.68414	12.85525	0.001	0	0	2	
182.53353	12.44945	0.001	0	1	2	
221.22825	13.89106	0.001	0.1	3	2	
160.92829	8.79771	0.001	0.3	4	3	
217.50659	9.83187	0.001	0.4	4	6	
187.06628	7.19229	0.001	0.6	1	3	
188.30412	9.4021	0.001	0.5	1	3	
175.14653	7.35865	0.001	0.4	4	6	
198.8367	7.59467	0.001	0.6	11	3	
186.303	11.14297	0.001	0	1	3	
185.17225	10.64137	0.001	0	1	2	
178.02354	10.28903	0.001	0	2	2	
173.51805	9.44496	0.001	0	2	3	
177.57987	10.37451	0.001	0.1	3	3	
104.56054	17.01068	0.001	0.3	1	2	
90.87059	12.22114	0.001	0.7	4	2	
99.8149	11.36913	0.001	0.9	3	3	
109.73925	11.33136	0.001	1	1	2	
100.91472	10.451	0.001	0.6	1	6	
94.42414	9.42028	0.001	1.2	5	2	
109.67372	12.03116	0.001	0.3	1	3	
101.53741	11.59168	0.001	0	0	3	
86.6136	11.57968	0.001	0.1	1	2	
93.45514	11.58187	0.001	0	0	3	
104.81214	11.14211	0.001	0	1	5	
101.29074	11.84888	0.001	0.1	1	3	
93.29032	10.29431	0.001	0.3	3	3	
93.2561	9.26909	0.001	0.5	3	3	
43.86138	8.12053	0.001	1.5	3	3	
48.31439	8.38569	0.001	0.8	0	6	
46.03849	8.09565	0.001	1.2	0	3	
54.31174	8.76883	0.001	1.2	1	3	
53.52998	7.06026	0.001	1.4	4	3	
55.8657	7.87024	0.001	1.2	5	2	
49.35169	8.62133	0.001	0	0	2	
49.32302	9.83314	0.001	0.1	0	2	
49.63808	8.81371	0.001	0.3	1	2	
52.80031	8.47299	0.001	0.6	3	3	
50.92483	7.36802	0.001	0.6	2	6	
22.6066	6.03195	0.001	1.8	7	3	
26.18383	5.32361	0.001	1.5	2	3	
29.69758	4.35171	0.001	1.8	6	3	
28.71012	5.66998	0.001	0.5	1	2	
29.60403	5.87927	0.001	0.4	1	2	
28.52651	5.61414	0.001	0.2	1	2	
26.65997	6.48341	0.001	0	1	3	
27.91337	5.8816	0.001	0	1	3	
15.93114	3.04942	0.001	0	2	2	
15.8233	3.26897	0.001	0.1	1	2	
15.91242	2.67277	0.001	0.1	0	3	
17.29848	3.17244	0.001	0.3	1	2	
16.5929	2.64556	0.001	0.5	2	3	
95.29207	13.38226	0.01	0	0	3	
107.7677	7.90078	0.01	0	0	33	
14.10.2019	6:00:00					
-0.97						
12.92						
181.12152	16.36895	0.001	0.3	0	18	
204.50666	14.86213	0.001	0	0	2	
178.89913	13.00451	0.001	0	0	2	
184.57728	12.53713	0.001	0	0	2	
179.08442	12.20273	0.001	0	0	2	
217.85632	14.10166	0.001	0	0	2	
158.71154	9.48139	0.001	0.1	3	3	
212.1132	10.56987	0.001	0.2	5	6	
181.85594	7.9977	0.001	0.4	6	3	
182.13168	8.96168	0.001	0.5	1	3	
169.32965	6.93235	0.001	0.4	1	6	
192.27616	7.87106	0.001	0.5	4	3	
186.41284	7.20018	0.001	0.5	9	3	
182.95411	10.46135	0.001	0	1	2	
176.36683	10.19854	0.001	0	2	2	
172.08793	9.52104	0.001	0	2	3	
176.45811	10.63409	0.001	0	2	3	
103.1885	16.89114	0.001	0	2	2	
89.5675	13.61385	0.001	0	0	2	
96.8347	13.21482	0.001	0.2	1	2	
105.04473	12.83477	0.001	0.5	3	3	
95.76976	10.01478	0.001	0.6	2	6	
89.68644	11.52107	0.001	0.3	1	2	
104.631	12.11129	0.001	0	0	3	
97.65333	10.98996	0.001	0	0	3	
83.03623	11.08304	0.001	0	1	2	
89.82941	10.94004	0.001	0	0	3	
101.89779	10.45889	0.001	0.1	1	5	
98.72107	11.16923	0.001	0.2	2	3	
91.46926	9.90854	0.001	0.3	2	3	
91.42704	8.61084	0.001	0.6	3	3	
43.146	7.65283	0.001	1.6	3	3	
47.26224	8.09916	0.001	0.9	0	6	
45.00154	7.77911	0.001	1.1	0	3	
53.02212	8.1134	0.001	1.3	2	3	
51.88988	7.08199	0.001	1.2	4	3	
53.27735	8.27098	0.001	0.7	2	2	
48.08453	7.72239	0.001	0.2	0	2	
48.78384	8.97374	0.001	0.2	1	2	
49.43442	8.59706	0.001	0	1	2	
52.87754	9.08823	0.001	0	0	3	
50.4783	8.15202	0.001	0	0	6	
23.10527	6.41077	0.001	0	2	2	
25.55386	6.40115	0.001	0	0	3	
27.75068	5.63998	0.001	0.2	0	2	
27.2818	5.60354	0.001	0.3	1	2	
27.66155	5.30204	0.001	0.6	2	2	
26.87377	4.45315	0.001	1.1	3	2	
25.46479	4.92519	0.001	1.4	2	3	
27.37129	4.59757	0.001	1.1	0	3	
16.02799	2.31468	0.001	1.2	0	2	
16.14577	2.4123	0.001	1.5	1	2	
16.11937	2.14197	0.001	0.9	1	3	
17.65557	2.7573	0.001	0.9	1	2	
16.80085	2.6848	0.001	0.4	0	3	
95.09008	13.14196	0.01	0	0	2	
106.71673	7.85163	0.01	0	0	33	
14.10.2019	12:00:00					
0.7						
13.69						
171.23916	13.28528	0.001	0.1	4	16	
197.9737	13.04927	0.001	0.6	9	2	
170.75624	9.3183	0.001	0.6	8	2	
174.49195	11.72403	0.001	0.4	7	2	
168.8444	11.15053	0.001	0	3	2	
206.38136	12.95662	0.001	0	0	2	
148.80851	8.44919	0.001	0.2	0	2	
201.78413	11.09824	0.001	0.6	3	5	
171.7131	7.14988	0.001	0.5	22	2	
173.58671	8.92822	0.001	0.3	12	3	
160.60966	10.08441	0.001	0.6	12	5	
182.73448	10.97251	0.001	0.1	1	2	
176.91642	9.89499	0.001	0	5	3	
177.86094	9.59221	0.001	0.1	3	2	
171.11987	7.33357	0.001	1	10	2	
167.45248	6.37581	0.001	0.2	24	3	
172.77073	7.14276	0.001	0.3	11	3	
98.26536	11.51997	0.001	1.9	11	2	
86.81292	9.15857	0.001	1.4	4	2	
97.49492	10.72366	0.001	1	3	2	
107.10259	9.03875	0.001	1.1	7	2	
93.43985	11.27627	0.001	0	2	5	
86.84529	11.34709	0.001	0	2	2	
102.31434	13.53834	0.001	1.3	5	3	
92.83896	8.96343	0.001	1.5	17	2	
77.3393	12.74806	0.001	0.6	29	2	
86.00797	9.70662	0.001	0.2	0	3	
99.093	9.7661	0.001	0.2	12	5	
95.43857	8.10764	0.001	0.1	14	3	
89.70303	7.9115	0.001	0.8	4	3	
90.64865	8.11419	0.001	0.5	0	3	
