A	B	M	N
1	4	2	3
2	5	3	4
3	6	4	5
4	7	5	6
5	8	6	7
6	9	7	8
7	10	8	9
8	11	9	10
9	12	10	11
10	13	11	12
11	14	12	13
12	15	13	14
13	16	14	15
14	17	15	16
15	18	16	17
16	19	17	18
17	20	18	19
1	7	3	5
2	8	4	6
3	9	5	7
4	10	6	8
5	11	7	9
6	12	8	10
7	13	9	11
8	14	10	12
9	15	11	13
10	16	12	14
11	17	13	15
12	18	14	16
13	19	15	17
14	20	16	18
1	10	4	7
2	11	5	8
3	12	6	9
4	13	7	10
5	14	8	11
6	15	9	12
7	16	10	13
8	17	11	14
9	18	12	15
10	19	13	16
11	20	14	17
1	13	5	9
2	14	6	10
3	15	7	11
4	16	8	12
5	17	9	13
6	18	10	14
7	19	11	15
8	20	12	16
1	16	6	11
2	17	7	12
3	18	8	13
4	19	9	14
5	20	10	15
1	19	7	13
2	20	8	14
