48 	 # Number of sensors 
# x z 
0.00 0.00 
6.14 -1.80 
11.07 -3.56 
14.38 -5.55 
19.65 -6.44 
24.92 -7.32 
29.15 -7.44 
33.29 -8.13 
38.46 -9.94 
43.43 -12.61 
48.43 -11.31 
53.31 -10.72 
58.13 -11.84 
62.53 -12.56 
67.51 -13.56 
72.15 -14.69 
78.37 -15.63 
83.02 -17.11 
89.01 -19.40 
92.82 -20.07 
97.33 -22.38 
102.55 -22.97 
107.04 -21.50 
112.21 -20.42 
117.62 -21.66 
123.03 -22.90 
126.98 -25.09 
130.82 -24.90 
134.66 -24.70 
139.14 -24.35 
143.62 -23.99 
148.87 -26.20 
153.37 -27.59 
157.83 -28.47 
162.30 -29.36 
168.19 -27.40 
173.10 -28.47 
178.73 -28.85 
183.38 -30.10 
188.38 -30.92 
193.19 -32.74 
199.23 -36.44 
203.78 -37.66 
208.28 -39.83 
212.81 -43.19 
217.74 -46.39 
222.74 -49.58 
227.63 -51.51 
360 	 # Number of measurements 
# a b m n u i rhoa
a	b	m	n	u	i	rhoa
3	6	4	5	36.796	0.025	45454.9
30	33	31	32	45.548	0.041	34625.2
5	11	7	9	20.437	0.029	44882.9
14	20	16	18	31.262	0.045	44134.9
7	16	10	13	51.317	0.067	72449.6
12	21	15	18	40.652	0.057	66957.8
26	35	29	32	51.417	0.074	65566.1
1	16	6	11	99.526	0.143	109285.5
22	37	27	32	41.723	0.059	111441.6
23	41	29	35	23.562	0.038	116427.4
6	27	13	20	20.882	0.022	206371.2
12	33	19	26	15.993	0.024	147516.6
8	32	16	24	22.408	0.032	177160.7
10	34	18	26	78.322	0.118	167356.9
18	42	26	34	17.045	0.038	112301.5
24	48	32	40	26.468	0.067	99645.3
5	35	15	25	58.351	0.093	197147
6	36	16	26	17.853	0.025	220539.8
3	39	15	27	70.095	0.134	197920.3
5	44	18	31	20.418	1.945	4286.3
6	45	19	32	17.039	0.052	132670.4
2	5	3	4	56.054	0.067	26378.9
20	23	21	22	481.983	0.386	39203.6
8	14	10	12	30.804	0.038	50736.7
21	27	23	25	50.548	0.067	47575.7
1	10	4	7	137.01	0.162	79647.7
13	22	16	19	43.567	0.057	71759.2
22	31	25	28	64.578	0.074	82348.2
32	41	35	38	21.095	0.315	6317.5
4	16	8	12	48.814	0.072	85761.3
8	20	12	16	56.025	0.068	103009.2
15	27	19	23	37.921	0.048	99936.2
30	42	34	38	21.806	0.286	9577.7
12	27	17	22	47.544	0.059	126988.3
3	21	9	15	43.961	0.057	144816.9
1	25	9	17	40.382	0.054	187800.7
2	26	10	18	41.323	0.059	176594.9
21	45	29	37	20.671	2.153	2413.1
7	34	16	25	44.584	0.065	193437.8
17	44	26	35	19.767	1.973	2833.4
1	31	11	21	47.487	0.072	208573.8
3	33	13	23	31.862	0.043	233245.8
4	34	14	24	386.353	0.575	211240.2
10	43	21	32	21.865	0.06	125098.2
13	46	24	35	20.746	0.062	115652.5
1	37	13	25	40.169	0.062	244290.2
3	42	16	29	26.506	0.06	179226.2
3	45	17	31	26.318	0.075	154948.7
24	27	25	26	63.375	0.06	32963.6
35	38	36	37	1.615	0.478	106
41	47	43	45	21.668	0.067	20393.4
16	25	19	22	527.033	2.017	24626.2
25	34	28	31	35.165	0.051	65160.6
30	39	33	36	30.578	0.033	86339.9
33	42	36	39	18.339	0.434	3983.3
36	45	39	42	47.236	0.072	62241.2
16	28	20	24	623.728	0.966	81172.6
14	29	19	24	27.52	0.04	108787.1
23	38	28	33	34.453	0.049	109834.1
27	42	32	37	50.265	0.079	99349.7
29	44	34	39	38.462	0.059	102730.1
6	24	12	18	20.8	0.024	164443.5
7	25	13	19	39.021	0.049	149276.3
27	45	33	39	55.781	0.11	95870.5
3	24	10	17	41.25	0.051	178348.2
7	28	14	21	44.584	0.057	171347.7
16	37	23	30	43.197	0.076	124511.1
4	28	12	20	49.267	0.062	199747.3
7	31	15	23	43.806	0.057	192405.1
20	44	28	36	1.815	0.308	1479.5
6	42	18	30	22.141	0.464	17984.5
6	9	7	8	28.448	0.024	37485.5
14	17	15	16	19.061	0.615	973.5
16	19	17	18	-1.926	1.101	-54.9
40	43	41	42	242.978	0.26	29373
42	45	43	44	1.493	0.424	110.5
45	48	46	47	0.69	0.575	37.7
10	16	12	14	116.935	0.141	52231.4
22	28	24	26	61.145	0.074	51980.2
4	13	7	10	37.781	0.049	72266.8
5	17	9	13	48.504	0.065	93530.6
24	36	28	32	39.18	0.06	81516.1
27	39	31	35	79.627	0.1	99926.6
28	40	32	36	52.481	0.059	112139.6
31	43	35	39	18.543	1.898	1227.8
36	48	40	44	21.3	1.435	1864.9
10	28	16	22	1.23	0.143	1621.1
29	47	35	41	13.631	0.024	107769.2
21	48	30	39	41.8	2.007	5887.2
1	34	12	23	80.958	0.122	230085.3
5	41	17	29	32.342	0.059	207324.7
7	43	19	31	138.331	0.403	129426.2
12	48	24	36	18.644	0.067	105288.2
13	19	15	17	29.24	0.032	57792.7
15	21	17	19	47.417	0.054	55129.4
19	25	21	23	22.917	0.021	69685.4
20	26	22	24	261.565	0.415	39615.8
6	15	9	12	19.198	0.021	87563.4
35	44	38	41	302.84	0.517	55167.5
11	23	15	19	153.793	0.2	96499.7
33	45	37	41	104.914	0.529	24908.6
2	17	7	12	45.274	0.07	101687.6
19	34	24	29	29.389	0.037	126278.4
9	27	15	21	50.662	0.067	143050.2
13	34	20	27	41.814	0.067	137743.1
23	44	30	37	26.183	0.062	92887.2
5	29	13	21	50.494	0.067	190099.3
13	37	21	29	38.252	0.062	155088.3
14	38	22	30	14.502	0.025	143319.5
1	28	10	19	53.496	0.081	186594
9	36	18	27	20.618	1.626	3585.3
10	37	19	28	263.253	0.463	160924.7
20	47	29	38	86.985	0.248	99188.5
23	26	24	25	45.427	0.045	32066.7
26	29	27	28	78.659	0.062	39864.4
27	30	28	29	22.44	0.029	24640.6
11	20	14	17	29.297	0.029	96509.7
15	24	18	21	19.007	0.672	2664.3
21	30	24	27	20.402	0.029	67209.1
17	29	21	25	48.909	0.064	95476.5
22	34	26	30	63.801	0.079	100882.8
8	23	13	18	253.501	0.36	110606.9
26	41	31	36	33.884	0.045	119593.7
30	45	35	40	18.333	0.03	95355.6
5	23	11	17	44.508	0.062	135339.8
15	33	21	27	102.612	0.151	128093.6
5	26	12	19	48.374	0.062	171609.9
10	31	17	24	255.8	0.374	150282.2
27	48	34	41	59.614	0.134	98190.5
11	35	19	27	18.396	0.029	161603.5
3	30	12	21	16.33	0.019	242075.4
2	35	13	24	25.021	0.391	22114
3	36	14	25	228.544	0.372	212347.1
8	41	19	30	107.765	0.241	154653.5
10	46	22	34	34.92	0.127	103531.2
1	40	14	27	305.753	0.615	203003.6
5	47	19	33	70.086	0.255	120832.1
9	12	10	11	54.086	0.057	29695
41	44	42	43	45.083	0.054	26208.3
23	29	25	27	31.662	0.045	44700.4
31	37	33	35	64.993	0.079	51902.9
32	38	34	36	20.852	0.291	4504.3
2	11	5	8	17.43	0.019	86126.8
8	17	11	14	36.968	0.056	62629
10	19	13	16	187.803	0.217	81581.3
31	40	34	37	20.442	1.45	1329.1
34	43	37	40	-1.307	3.042	-40.5
3	15	7	11	36.949	0.046	100730.3
10	22	14	18	72.832	0.103	89273.8
14	26	18	22	223.861	0.262	107264.3
18	30	22	26	16.12	0.024	84965.4
34	46	38	42	463.801	0.772	75449.4
6	21	11	16	21.505	0.029	118071.5
13	28	18	23	46.539	0.062	117930.6
15	30	20	25	18.422	0.024	121370.2
33	48	38	43	24.497	0.041	93112
12	30	18	24	20.863	0.025	154637
13	31	19	25	42.462	0.062	129119.4
22	40	28	34	44.603	0.072	117545.8
24	42	30	36	10.462	0.72	2738.8
9	30	16	23	16.635	0.021	177045.6
14	35	21	28	234.237	0.348	147982.4
9	33	17	25	34.04	0.049	173626.7
17	41	25	33	32.349	0.064	126296.7
19	43	27	35	22.345	0.405	13855.5
6	33	15	24	16.581	0.021	226890.7
15	42	24	33	12.064	0.025	134126.4
10	40	20	30	47.469	0.1	148926.5
7	40	18	29	37.282	0.068	188507.3
2	38	14	26	18.218	0.366	18787.3
4	43	17	30	426.211	1.44	120875.9
6	48	20	34	52.63	0.463	50046.1
8	11	9	10	18.079	0.016	35732.5
25	28	26	27	34.876	0.045	24618.9
3	9	5	7	55.053	0.057	60451.2
26	32	28	30	24.672	0.025	60954.8
42	48	44	46	1.402	0.623	141.4
39	48	42	45	108.563	0.216	47333.2
12	24	16	20	43.907	0.054	102098.1
11	26	16	21	21.184	0.025	130847.3
26	44	32	38	39.225	0.074	100036.4
19	40	26	33	17.91	0.029	137664.6
15	39	23	31	20.847	0.71	7374.5
22	46	30	38	36.999	0.094	99159.3
5	32	14	23	130.244	0.179	205942.7
14	44	24	34	16.591	0.048	109306.5
18	48	28	38	20.194	0.062	102343.4
4	40	16	28	43.24	0.083	195346
8	44	20	32	21.954	0.072	115711.1
15	18	16	17	33.547	0.024	44204.3
17	20	18	19	457.655	0.424	33878.7
4	10	6	8	41.043	0.06	42695.9
9	15	11	13	31.204	0.046	42535
16	22	18	20	49.69	0.304	10284
7	22	12	17	59.19	0.074	125795.4
17	32	22	27	18.164	0.025	112194.1
18	33	23	28	19.007	0.312	9583.5
20	35	25	30	69.699	0.095	114801.7
28	43	33	38	33.086	0.051	102180.3
