50 	 # Number of sensors 
# x z 
-1.90 -1.27 
0.00 -0.98 
1.88 -0.69 
3.75 -0.34 
5.82 0.00 
7.72 -0.02 
9.72 -0.10 
11.71 -0.17 
13.78 -0.54 
15.78 -0.47 
17.78 -0.35 
19.77 -0.19 
21.66 -0.34 
23.76 -0.33 
25.74 -0.63 
27.74 -0.71 
29.73 -0.55 
31.56 -1.07 
33.84 -0.75 
35.83 -0.91 
37.93 -0.94 
39.93 -1.01 
41.92 -0.84 
43.82 -0.93 
45.82 -1.05 
47.92 -1.03 
49.97 -1.49 
51.87 -1.49 
53.96 -1.39 
56.36 -1.49 
57.93 -1.19 
59.86 -1.73 
61.96 -1.63 
64.05 -1.84 
66.03 -2.08 
68.13 -2.25 
69.71 -2.45 
71.91 -2.50 
74.20 -2.70 
76.10 -2.67 
78.20 -2.71 
80.29 -2.50 
82.47 -2.79 
84.07 -2.86 
85.77 -2.92 
88.15 -2.57 
90.05 -2.54 
91.92 -2.84 
94.18 -2.39 
96.04 -2.74 
360 	 # Number of measurements 
# a b m n u i err
2 5 3 4 7.97 0.10 0.03
3 6 4 5 6.25 0.10 0.03
4 7 5 6 7.52 0.10 0.03
5 8 6 7 6.02 0.10 0.03
6 9 7 8 6.34 0.10 0.03
7 10 8 9 5.72 0.10 0.03
8 11 9 10 6.74 0.10 0.03
9 12 10 11 5.43 0.10 0.03
10 13 11 12 6.44 0.10 0.03
11 14 12 13 6.55 0.10 0.03
12 15 13 14 5.85 0.10 0.03
13 16 14 15 7.48 0.10 0.03
14 17 15 16 6.69 0.10 0.03
15 18 16 17 9.07 0.10 0.03
16 19 17 18 4.87 0.10 0.03
17 20 18 19 10.75 0.10 0.03
18 21 19 20 6.97 0.10 0.03
19 22 20 21 10.47 0.10 0.03
20 23 21 22 136.08 0.10 0.03
21 24 22 23 24.34 10.00 0.03
22 25 23 24 142.17 0.10 0.03
23 26 24 25 5.60 0.10 0.03
24 27 25 26 8.54 0.10 0.03
26 29 27 28 104.97 1.00 0.03
27 30 28 29 66.63 1.00 0.03
29 32 30 31 9.26 0.10 0.03
30 33 31 32 7.54 0.10 0.03
31 34 32 33 9.65 0.10 0.03
32 35 33 34 12.28 0.10 0.03
33 36 34 35 7.41 0.10 0.03
34 37 35 36 11.67 0.10 0.03
35 38 36 37 6.47 0.10 0.03
36 39 37 38 11.67 0.10 0.03
37 40 38 39 9.59 0.10 0.03
38 41 39 40 8.52 0.10 0.03
39 42 40 41 13.13 0.10 0.03
40 43 41 42 8.31 0.10 0.03
41 44 42 43 12.58 0.10 0.03
42 45 43 44 6.66 0.10 0.03
43 46 44 45 8.69 0.10 0.03
44 47 45 46 11.43 0.10 0.03
45 48 46 47 7.44 0.10 0.03
46 49 47 48 10.84 0.10 0.03
47 50 48 49 12.39 0.10 0.03
2 8 4 6 3.43 0.10 0.03
3 9 5 7 3.75 0.10 0.03
4 10 6 8 2.98 0.10 0.03
5 11 7 9 2.90 0.10 0.03
6 12 8 10 3.44 0.10 0.03
7 13 9 11 3.23 0.10 0.03
8 14 10 12 3.36 0.10 0.03
9 15 11 13 3.53 0.10 0.03
10 16 12 14 3.65 0.10 0.03
11 17 13 15 3.68 0.10 0.03
12 18 14 16 4.64 0.10 0.03
13 19 15 17 4.64 0.10 0.03
14 20 16 18 3.97 0.10 0.03
15 21 17 19 4.35 0.10 0.03
16 22 18 20 4.92 0.10 0.03
17 23 19 21 9.22 0.10 0.03
18 24 20 22 5.16 0.10 0.03
19 25 21 23 2.53 0.10 0.03
20 26 22 24 4.12 0.10 0.03
21 27 23 25 9.66 0.10 0.03
23 29 25 27 4.01 0.10 0.03
24 30 26 28 9.83 0.10 0.03
25 31 27 29 4.75 0.10 0.03
26 32 28 30 3.98 0.10 0.03
27 33 29 31 6.03 0.10 0.03
29 35 31 33 4.36 0.10 0.03
30 36 32 34 7.02 0.10 0.03
31 37 33 35 7.66 0.10 0.03
32 38 34 36 5.28 0.10 0.03
33 39 35 37 4.53 0.10 0.03
34 40 36 38 6.20 0.10 0.03
35 41 37 39 7.02 0.10 0.03
36 42 38 40 6.05 0.10 0.03
37 43 39 41 5.41 0.10 0.03
38 44 40 42 6.93 0.10 0.03
39 45 41 43 7.03 0.10 0.03
40 46 42 44 5.95 0.10 0.03
41 47 43 45 5.30 0.10 0.03
42 48 44 46 6.37 0.10 0.03
43 49 45 47 5.64 0.10 0.03
44 50 46 48 5.89 0.10 0.03
2 11 5 8 2.17 0.10 0.03
3 12 6 9 2.16 0.10 0.03
4 13 7 10 2.14 0.10 0.03
5 14 8 11 2.25 0.10 0.03
6 15 9 12 2.44 0.10 0.03
7 16 10 13 2.43 0.10 0.03
8 17 11 14 2.39 0.10 0.03
9 18 12 15 2.83 0.10 0.03
10 19 13 16 2.82 0.10 0.03
11 20 14 17 3.20 0.10 0.03
12 21 15 18 2.62 0.10 0.03
13 22 16 19 3.03 0.10 0.03
14 23 17 20 3.69 0.10 0.03
15 24 18 21 3.82 0.10 0.03
16 25 19 22 3.56 0.10 0.03
17 26 20 23 2.41 0.10 0.03
18 27 21 24 2.86 0.10 0.03
20 29 23 26 5.08 0.10 0.03
21 30 24 27 3.77 0.10 0.03
22 31 25 28 4.99 0.10 0.03
23 32 26 29 3.54 0.10 0.03
24 33 27 30 4.25 0.10 0.03
25 34 28 31 15.00 1.00 0.03
26 35 29 32 32.96 1.00 0.03
